,City,Location,Job_Title,Company,Salary,Description
39,San Francisco,"San Francisco, CA",Data Scientist,Workbridge Associates,125000.0,"MS in similar program with 2+ years of experience in Data Scientist or Software Engineer role. Top startup in fashion, online retail, and personal styling has..."
41,Oakland,"Oakland, CA",Data scientist,Even,34142.0,"Collaborate with our engineers on our internal APIs to ensure you spend less time fixing the way you get data, and more time understanding the data...."
42,San Francisco,"San Francisco, CA",Senior Data Scientist (NLP),Workbridge Associates,160000.0,A text mining and big data startup is looking to bring on a Senior Data Scientist. The rapidly growing company is using NLP techniques to gather data from the...
43,San Francisco,"San Francisco, CA",Senior Data Scientist,Workbridge Associates,170000.0,A leading technology company is looking for Data Scientists to join their Engineering team to help transform data into insights....
44,Brisbane,"Brisbane, CA",Data Scientist (Machine Learning),Corporate Labs Technology,145000.0,"Machine Learning Developer Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is"
45,San Francisco,"San Francisco, CA 94104 (Financial District area)",Data Scientist,kWh Analytics,120000.0,Experience in weather data is a strong plus. A track record of spotting relevant trends in noisy data sets. Pivoting quickly from one data analysis project to...
46,San Francisco,"San Francisco, CA",Lead Data Scientist (Life Sciences),Workbridge Associates,165000.0,A leading technology company is looking for Data Scientists to join their Engineering team to help transform data into insights....
47,San Francisco,"San Francisco, CA",Data Scientist / Bioinformatics (co-founder),Medlytic,110000.0,"We are looking for a data scientist who sees waste and unlocked value in EMR data, and is passionate about breaking down these barriers to improve healthcare...."
48,Emeryville,"Emeryville, CA",Analytical Chemist,Nano Precision Medical,114000.0,"Experience with large amounts of analytical data and automated data processing tools. We are looking for a hands-on, experienced scientist with a background in..."
49,Brisbane,"Brisbane, CA",Data Scientist (Natural Language Processing),Corporate Labs Technology,145000.0,"Natural Language Processing Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is"
50,Redwood City,"Redwood City, CA",Data Scientist,Jobspring Partners,140000.0,"A well-known established company is looking for a Data Scientist and is willing to pay up to $150,000. You will be part of the growth team, and will have..."
51,Walnut Creek,"Walnut Creek, CA",Business Analyst / Junior Data Scientist,NelsonJobs,100000.0,"Business Analyst / Junior Data Scientist. Familiar with data visualization and communication. Our healthcare software client in Walnut Creek, CA is looking for..."
52,San Francisco,"San Francisco, CA",Principal Data Scientist,Workbridge Associates,180000.0,A San Francisco-based agriculture software company is hiring for a Principal Data Scientist to help lead a team....
53,San Francisco,"San Francisco, CA",Machine Learning/Data Engineer,Jobspring Partners,165000.0,"As a Data Engineer, you will act as the bridge from machine learning/data science to data engineering. 3+ years’ experience with Big Data technologies like..."
54,San Francisco,"San Francisco, CA",Frontend/Data Visualization Developer,Jobspring Partners,145000.0,Working with the top Data Scientist Team in the country. This Frontend Developer will be working directly with some of the top Data Scientists in the country on...
55,San Francisco,"San Francisco, CA",Senior Data Analyst,Workbridge Associates,115000.0,"This person will be working alongside one other Data Engineer, one Data Scientist, and the Head of Data Analytics for this product team...."
56,San Francisco,"San Francisco, CA",Save lives as a software engineer,Blue Owl,250000.0,"Experience working closely with data scientists. Created geospatial services before, such as maps data, routing and travel time prediction algorithms, traffic..."
57,San Francisco,"San Francisco, CA",Senior Software Engineer - Python - Machine Learning,HERO.jobs,200000.0,Integrate data storage solutions (both relational and noSQL). Able to integrate multiple data sources and databases into one system....
58,San Francisco,"San Francisco, CA",Lead Data Scientist,Workbridge Associates,145000.0,A leading healthcare startup is looking to bring on a Senior Data Scientist to their team. Knowledgeable with Big Data Solutions such as Hadoop or Spark....
59,San Francisco,"San Francisco, CA",Data Scientist (Personalization),Workbridge Associates,145000.0,"This startup has received close to $20M in funding, and this is a ground floor opportunity to apply industry data science experience and develop something from..."
60,Berkeley,"Berkeley, CA",Assistant/Associate Project Scientist - Berkeley Seismologic...,University of California Berkeley,62850.0,(f) integrating EEW information and activities into the data collection and real-time processing that contribute to the BSL's regular earthquake information and...
61,Berkeley,"Berkeley, CA 94720",UC Berkeley - BACEM Computer Support Analyst,Lawrence Berkeley National Laboratory,76250.0,"QB3 scientists make. Innovative/automated approaches for data collection, storage and backup. Support the BACEM users running scope operation and data...."
62,San Francisco,"San Francisco, CA",Machine Learning Engineer,Workbridge Associates,135000.0,This person will be working alongside the Data Architect which is building back end and data ingestion pipelines....
63,San Francisco,"San Francisco, CA","Software Engineer - Front End (JavaScript, React, Angular)",Harvey Nash USA,140000.0,Work with Data Scientists to design and run user experiments to help gauge the impact of new features. Work closely with our amazing product design team to...
64,Oakland,"Oakland, CA",Full-stack designer,Even,34142.0,Work side by side with data scientists and researchers to understand the problems you’re solving and whether your solutions are helping....
65,Boston,"Boston, MA 02115 (Fenway-Kenmore area)",Research Scientist,Northeastern University,60000.0,"Want to develop and apply algorithms for data analysis, machine learning and statistical inference. We are looking for researchers who enjoy working on..."
66,Boston,"Boston, MA 02116 (South End area)",Data Scientist,Jobspring Partners,135000.0,"Experience with data analytics. Located in the heart of Boston, this company is looking for their first Senior Data Scientist, paying up to $150K...."
67,Boston,"Boston, MA",Research Analyst I,Commonwealth of Massachusetts,57786.0,"Compile data from source documents and convert to acceptable format via data entry, optical scanner and data software programs...."
68,Cambridge,"Cambridge, MA",Data Scientist,Strategic Employment Partners,112500.0,"Located in the Greater Boston area is looking for a sharp Data Scientist to add. Professional experience with data mining,...."
69,Boston,"Boston, MA 02116 (South End area)",Senior Data Scientist,Jobspring Partners,110000.0,Well-funded start up in Boston is hiring for a Senior Data Scientist to join their team to help solve some unique and interesting data problems....
70,Cambridge,"Cambridge, MA 02141 (East Cambridge area)",Data Scientist,The Centrics Group,110000.0,One of our top clients is looking to add a Data Scientist to their team in Cambridge MA Amazing opportunity! What we have to offer:....
71,Boston,"Boston, MA",Machine Learning Scientist,"Human Capital Resource, LLC.",140000.0,"Digest complex data structures, perform statistical data reduction, summarization, normalization and multivariate data analyses and report findings using..."
72,Cambridge,"Cambridge, MA",Lead Data Scientist,Strategic Employment Partners,150000.0,Mentor and lead a team of Junior Data Scientists. Experience with data modeling as well as data engineering....
73,Boston,"Boston, MA",Data Engineer,Harnham,160000.0,Work closely with data scientists to design and develop processes to help data science projects on a common data platform....
74,Boston,"Boston, MA",Senior Machine Learning Engineer,Workbridge Associates,140000.0,"Experience with data manipulation:. Big Data experience such as Hadoop, Spark, Scala, or Cassandra. One of the most successful and industry leading company has..."
75,Boston,"Boston, MA 02116 (South End area)",Chief Data Scientist,Jobspring Partners,140000.0,A start up in downtown Boston in the Ad-tech industry is looking to hire their first Chief Data Scientist. 5+ years of experience in Data Science....
76,Boston,"Boston, MA",Assistant Director¸ Predictive Modeling,Liberty Mutual,134950.0,Work with data scientists with a broad range of analytical expertise and claims subject matter experts to deliver data products and provide business insights...
77,Boston,"Boston, MA",Assistant Director¸ Predictive Modeling,Liberty Mutual,134950.0,Work with data scientists with a broad range of analytical expertise and claims subject matter experts to deliver data products and provide business insights...
78,Boston,"Boston, MA",Research Data Analyst,Commonwealth of Massachusetts,78928.5,"Record of working with multiple data sources and combining data in multiple formats; Utilize multi-source data in collaboration with contractors, develop..."
79,Boston,"Boston, MA",Biostatistician / Bioinformatician,"Human Capital Resource, LLC.",140000.0,"It begins with the raw sequence data and results in comprehensive variant calls, tumor-specific calls, and variant annotations along with raw BAM file data..."
80,Cambridge,"Cambridge, MA","Data Engineer - Big Data Services, AWS",The Bivium Group,125000.0,"Company is seeking a new Data Engineer with strong data cloud services (EC2, AWS APIs) and restful services -- experience with data storage and retrieval..."
81,Boston,"Boston, MA",Catastrophe Risk Analyst - Quantitative,Selby Jennings,97500.0,This is for a Portfolio Analyst with one of the world’s largest asset managers - dedicated to natural catastrophe and weather related risk. Responsibilities
82,Wilmington,"Wilmington, MA",Data Analyst,US Engineering Technical Services,110000.0,"Data preparation, data visualization and presentation of data. ﻿Solve business related problems using advanced data analysis and data driven technologies...."
83,Boston,"Boston, MA",Senior Software Developer,Liberty Mutual,112750.0,Familiarity with statistical modeling and advanced data analytics. You’ll have the opportunity to work in an Agile environment to collaborate closely with other...
84,Cambridge,"Cambridge, MA","Data Scientist - healthcare, hacking coding skills",The Bivium Group,115000.0, Willingness to engage in necessary data fussing.  Will develop solutions that read large volumes of data and produce insights in real time....
85,Bedford,"Bedford, MA 01730",SPAR Program Coordinator,Bedford Research Foundation,42500.0,"Email, word processing, data entry, internet searches. Experience and major areas of research as a Scientist. Excellent organizational skills, a willingness to..."
86,Boston,"Boston, MA 02116 (South End area)",Lead Data Scientist,Jobspring Partners,140000.0,5+ years’ experience with data analyzing. A leading company in the Ad Tech business located in downtown Boston is looking for a Lead Data Scientist paying up to...
87,Boston,"Boston, MA",Quantitative Analyst or Manager Decision Sciences,Analytic Recruiting,110000.0,Analyst or Manager will leverage data assets to optimize profitability and improve consumer and small banking customer experience....
88,Boston,"Boston, MA",VP Engineering Machine Learning,"DTS - NLP, Machine Learning",200000.0,"NLP, machine learning, data analytics:. Understanding of NLP, machine learning, data analytics, and expert systems*...."
89,Cambridge,"Cambridge, MA",Machine Learning Engineer,Neurable,105000.0,"Experience working with real-time data, large datasets, brain-computer Interface, and/or EEG data is preferred...."
90,Boston,"Boston, MA 02116 (South End area)",Senior Research Analyst,Fanning Personnel,95000.0,"Work with other members of the firm regarding investment research, analytics, asset allocation, risk and economic data Qualifications :...."
91,Boston,"Boston, MA",Practice Leader for Management Consulting in Pharma Clinical...,BIG 6 Search International,212500.0,"Many in the practice are former pharma / life sciences R&D scientists, innovators, PhDâ€™s, data analytics professionals, and alla re experienced management..."
92,Boston,"Boston, MA",Quantitative Research Analyst,Execu | Search,130000.0,"Experience working with equity data, programming complex research experiments, and developing mathematical models...."
93,Hopkinton,"Hopkinton, MA 01748",Research Scientist\Senior Research Scientist – Commercial In...,Liberty Mutual,116000.0,"Familiarity with DBMS Languages, Data Profiling, Data Design & Architecture. Comfortable in manipulating and analyzing complex, high-volume, high-dimensionality..."
94,Los Angeles,"Los Angeles, CA",Senior Research Analyst,Tessie Cleveland Community Service Corporation,56000.0,Technical Skills in Data Collection/Analysis and Database Management/Development. The Research and Evaluation Department at TCCSC is seeking a Senior Analyst to...
95,Chatsworth,"Chatsworth, CA 91311",Research Analyst,Phillips Graduate University,55000.0,Demonstrated aptitude for data extraction from Jenzabar using InfoMaker. Provide technical assistance and data to program chairs for student learning assessment...
96,Los Angeles,"Los Angeles, CA",Quantitative Analyst - Multiple Vacancies,Selby Jennings,120000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently
97,Los Angeles,"Los Angeles, CA","RESEARCH ANALYST I, BEHAVIORAL SCIENCES/SPANISH",Los Angeles County Human Resources,56072.0,Assists in constructing codes for the machine processing of research data. Prepares tabular and graphic presentations of raw and analyzed data....
98,Los Angeles,"Los Angeles, CA 90046",Sr. Data Science Manager,Soothe,125000.0,"Lead a team of talented Data Scientists in developing high-quality, robust predictive algorithms. The Senior Manager of Data Science will lead Soothe’s Data..."
99,Santa Monica,"Santa Monica, CA 90404",Director of Data,Career Movement,185000.0,"ResponsibilitiesImplement and lead continuous improvement to the company’s data strategy and architectureLead data engineering activities, including requirement..."
100,Los Angeles,"Los Angeles, CA","MEDICAL TECHNOLOGIST, DATA SYSTEMS",Los Angeles County Department of Human Resources,88765.0,Develops and documents the backup procedure to assure a continuing flow of essential laboratory data in case breakdown of data systems....
101,Los Angeles,"Los Angeles, CA","RESEARCH ANALYST I, BEHAVIORAL SCIENCES/SPANISH",Los Angeles County Department of Human Resources,56072.0,Assists in constructing codes for the machine processing of research data. Prepares tabular and graphic presentations of raw and analyzed data....
102,Los Angeles,"Los Angeles, CA",Senior Java Developer,LT,180000.0,"Our data team consists of two data analysts and three data scientists. My client a leading mobile application company located in Los Angeles, CA is looking for..."
103,Los Angeles,"Los Angeles, CA","CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES",Los Angeles County Human Resources,84495.5,Research experience working with quantifying survey data reliability in sampling size determination for health-related data collection....
104,Los Angeles,"Los Angeles, CA","CHIEF RESEARCH ANALYST, BEHAVIORAL SCIENCES",Los Angeles County Department of Human Resources,84495.5,Research experience working with quantifying survey data reliability in sampling size determination for health-related data collection....
105,Los Angeles,"Los Angeles, CA",Clinical Laboratory Scientist (CLS),"Exact Staff, Inc.",90000.0,"Current California Clinical Laboratory Scientist license. Maintains accurate department records, reports and statistical data as required...."
106,Los Angeles,"Los Angeles, CA",HUMAN RESOURCES ANALYST IV - Test Research,Los Angeles County Department of Human Resources,104708.5,"An in-person proctored written test measuring written expression, data analysis & decision-making/mathematics, and reading comprehension...."
107,Los Angeles,"Los Angeles, CA",Director of Research and Data Analysis for the Board of Educ...,Los Angeles Unified School District,94900.0,And Data Analysis for the Board of Education:. A) Your professional experiences gathering various complex data sets....
108,Los Angeles,"Los Angeles, CA",SDET Engineer,LT,200000.0,Our data team consists of two data analysts and two data scientists. My client a leading mobile application company located right here in the beautiful Los...
109,Los Angeles,"Los Angeles, CA",SENIOR STATISTICAL CLERK,Los Angeles County Human Resources,42566.5,"Compiles pertinent data to verify amounts, totals, and ensure balances. Participates in the coding, sorting, translating, and filing of data for statistical..."
110,Los Angeles,"Los Angeles, CA",SENIOR STATISTICAL CLERK,Los Angeles County Department of Human Resources,42566.5,"Compiles pertinent data to verify amounts, totals, and ensure balances. Participates in the coding, sorting, translating, and filing of data for statistical..."
111,Los Angeles,"Los Angeles, CA","RESEARCH ANALYST III, BEHAVIORAL SCIENCES",Los Angeles County Department of Human Resources,79758.5,Devises data processing procedures that make use of high speed computers and work with computer personnel in the programming and processing of data....
112,Pasadena,"Pasadena, CA",LC/MS Clinical Laboratory Scientist,Lighthouse Recruiting,95000.0,"Join our Medical Laboratory Scientists Groups:. And also performing quantitative analysis, data review and certifying and releasing results...."
113,Atlanta,"Atlanta, GA",Health Scientist,Centers for Disease Control and Prevention,120002.5,"Lead scientists and program consultants in various aspects of the study or survey design process, and other study support duties including analyzing and..."
114,Atlanta,"Atlanta, GA",Mathematical Statistician,Centers for Disease Control and Prevention,101553.5,"And collecting, analyzing, and interpreting scientific data for. Design and develop mathematical statistical models, methods, and/or techniques such as sample..."
115,Atlanta,"Atlanta, GA",Health Scientist (Informatics),Centers for Disease Control and Prevention,120002.5,As a Health Scientist (Informatics) you will:. Data and Information Synthesis Use relevant primary and secondary research findings to make action-oriented...
116,Atlanta,"Atlanta, GA 30308 (Old Fourth Ward area)",Lead Data Scientist,Stackfolio,80000.0,We are looking for a bright and experienced data scientist that has experience building web-based applications and systems to join our team as an early...
117,Atlanta,"Atlanta, GA 30326 (Buckhead area)",Sr Data Scientist,"eHire, LLC",150000.0,Senior Data Scientist*. A strong understanding of data profiling and data cleansing techniques. The Senior Data Scientist is responsible for collecting data and...
118,Atlanta,"Atlanta, GA",Behavioral Scientist,Centers for Disease Control and Prevention,120002.5,As Behavioral Scientist you will:. Develop metrics and analyze data to assess programmatic processes and outcomes....
119,Atlanta,"Atlanta, GA",Lead Quantitative Analyst,SearchBankingJobs,177500.0,"The client is looking for talented individuals who love data, love solving business problems, and want to see their recommendations in action...."
120,Roswell,"Roswell, GA",Senior R&D Statistician,Principle Solutions Group,130000.0,"R&D Statistician to assist with the research and development of new data sources. You will be responsible for the development of new credit models, identifying..."
121,Norcross,"Norcross, GA",Business Research Analyst - Entry Level,CI Radar,31000.0,Who We Are CI Radar is the premier provider of competitive intelligence services for B2B (business to business) companies. We help both startups and Fortune
122,Atlanta,"Atlanta, GA",Epidemiologist,Centers for Disease Control and Prevention,101553.5,Assessment of the adequacy and quality of data used in the analyses; Participate in the synthesis of social science and epidemiologic data to be applied toward...
123,Atlanta,"Atlanta, GA","Scientist, Med Imag Analysis",Emory University,69900.0,"The Medical Image Analysis Scientist, works with Emory Radiology & Imaging Sciences faculty to help develop image analysis and image understanding algorithms..."
125,Duluth,"Duluth, GA 30097",Data Scientist-1,The Centrics Group,96000.0,"2+ years’ experience with data analytics, data structures, algorithms. Experience with large data sets or Big Data (MapReduce, Hadoop, Aster, Hive, etc)...."
126,Atlanta,"Atlanta, GA 30341",Associate Research Analyst,CSTE,51706.0,"Skills with developing and presenting epidemiologic data; For more than six decades, the Council of State and Territorial Epidemiologists (CSTE) and the Centers..."
127,Norcross,"Norcross, GA 30092",Data Scientist (Data Science R&D),CareerBuilder,10000.0,"Data Scientist (Data Science R&D). The Data Science R&D team is composed of Data Scientists with expertise in areas such as Machine Learning, Applied Statistics..."
128,Atlanta,"Atlanta, GA",Sponsored Research Financial Analyst,Emory University,66700.0,"Responsible for post award processing of grants and contracts in the Office of Grants & Contracts. Provide account management, reconciliation, and resolution"
129,Atlanta,"Atlanta, GA",Market Research & Sales Analyst,Interesse International Inc,65000.0,Estimate numerical data; Must see through the data and analyze data to find conclusion; Works with large amounts of data:....
130,Atlanta,"Atlanta, GA",Audit Snr (Banking) - Data Analysis 60K-80K,Synergy Search Group,80000.0,"Duties will include data conversion from multiple systems into analytical software such as ACL, using data analytical techniques to validate the integrity of..."
131,Alpharetta,"Alpharetta, GA",School Business & Human Resources (HR) Manager,Amana Academy Charter School,34999.5,Accounts Receivables - data entry. Invoice data entry once approved. Our intent is to “push down the 4 walls of the school” by taking students out into the...
132,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
133,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
134,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
135,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
136,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
137,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
138,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
139,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
140,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
141,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
142,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
143,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
144,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
145,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
146,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
147,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
148,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
149,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
150,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
151,Smyrna,"Smyrna, GA 30082",Certifying Scientist,Lighthouse Recruiting,62500.0,A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....
